metric,value
coverage_comparison.stratified.nearest_neighbor_distance_mean,0.04402816253996876
coverage_comparison.stratified.nearest_neighbor_distance_p95,0.08112379047139032
coverage_comparison.stratified.polar_cell_occupancy_variance_mean,0.0
matched_emitter_budgets[0].m,64
matched_emitter_budgets[0].n_emitters,65536
matched_emitter_budgets[0].n_theta,8
matched_emitter_budgets[0].n_r,8
matched_emitter_budgets[0].sobol.k_geom,64
matched_emitter_budgets[0].sobol.k_chart,1024
matched_emitter_budgets[0].sobol.m,64
matched_emitter_budgets[0].sobol.n_emitters,65536
matched_emitter_budgets[0].sobol.seed,101
matched_emitter_budgets[0].sobol.resolution[0],256
matched_emitter_budgets[0].sobol.resolution[1],256
matched_emitter_budgets[0].sobol.views,4
matched_emitter_budgets[0].sobol.emitter_chunk_size,8192
matched_emitter_budgets[0].sobol.camera_block_size,4
matched_emitter_budgets[0].sobol.source_mass,9.088634202953163
matched_emitter_budgets[0].sobol.foreground_energy,136198.09375
matched_emitter_budgets[0].sobol.whole_image_mse,0.5090306599934896
matched_emitter_budgets[0].sobol.foreground_mse,2.076432992446039
matched_emitter_budgets[0].sobol.interior_gt8px_mse,0.4587438901265462
matched_emitter_budgets[0].sobol.silhouette_0_8px_mse,1.3553285236063852
matched_emitter_budgets[0].sobol.total_image_energy,170136.072265625
matched_emitter_budgets[0].sobol.foreground_mean_brightness,0.7683607941884146
matched_emitter_budgets[0].sobol.edge_sharpness,0.19784308431441344
matched_emitter_budgets[0].sobol.reference_edge_sharpness,0.7208442552609092
matched_emitter_budgets[0].sobol.edge_sharpness_ratio,0.2744602358560855
matched_emitter_budgets[0].sobol.thin_feature_response_ratio,0.0925007553352637
matched_emitter_budgets[0].sobol.geodesic_construction_seconds,0.1850191291887313
matched_emitter_budgets[0].sobol.sparse_geo_extraction_seconds,0.0
matched_emitter_budgets[0].sobol.source_evaluation_seconds,0.0018127118237316608
matched_emitter_budgets[0].sobol.finite_transport_seconds,1.3771464149467647
matched_emitter_budgets[0].sobol.detector_seconds,0.030516602797433734
matched_emitter_budgets[0].sobol.detector_seconds_per_view,0.0076291506993584335
matched_emitter_budgets[0].sobol.runtime_seconds,2.017498146975413
matched_emitter_budgets[0].sobol.emitters_per_second,354212.02276413864
matched_emitter_budgets[0].sobol.packets_per_second,190353.0352000615
matched_emitter_budgets[0].sobol.interactions_per_second,39742144.63036284
matched_emitter_budgets[0].sobol.detector_writes_per_second,137443346.09725025
matched_emitter_budgets[0].sobol.attempted_packets,262144
matched_emitter_budgets[0].sobol.interaction_evaluations,54730752
matched_emitter_budgets[0].sobol.detector_writes,4194304
matched_emitter_budgets[0].sobol.peak_cuda_allocated_mib,720.3212890625
matched_emitter_budgets[0].sobol.peak_cuda_reserved_mib,1854.0
matched_emitter_budgets[0].sobol.cpu_rss_mib,4965.28125
matched_emitter_budgets[0].sobol.mapping_residual_p95,4.383767064801212e-05
matched_emitter_budgets[0].sobol.image_digest,b1a1e712773a0fceab83322ab2d7a9c5f45bf69d36e888766b513e954710e7f3
matched_emitter_budgets[0].sobol.sampler,SOBOL_DISK_ENDPOINTS
matched_emitter_budgets[0].sobol.radial_scheme,AREA_SOBOL
matched_emitter_budgets[0].sobol.high_frequency_aliasing_error,0.7255397641439145
matched_emitter_budgets[0].sobol.coverage.angular_gap_p50_radians,0.09808638676600356
matched_emitter_budgets[0].sobol.coverage.angular_gap_p90_radians,0.15294661056595737
matched_emitter_budgets[0].sobol.coverage.angular_gap_p95_radians,0.1656615689035806
matched_emitter_budgets[0].sobol.coverage.largest_angular_gap_radians,0.19561026397551284
matched_emitter_budgets[0].sobol.coverage.sectors_with_zero_samples,0
matched_emitter_budgets[0].sobol.coverage.radial_gap_p50,0.015389297157526072
matched_emitter_budgets[0].sobol.coverage.radial_gap_p90,0.02406457960605626
matched_emitter_budgets[0].sobol.coverage.radial_gap_p95,0.026106043159961748
matched_emitter_budgets[0].sobol.coverage.radial_stratum_occupancy_minimum,8
matched_emitter_budgets[0].sobol.coverage.radial_stratum_occupancy_maximum,8
matched_emitter_budgets[0].sobol.coverage.inner_mid_outer_sample_fractions[0],0.111083984375
matched_emitter_budgets[0].sobol.coverage.inner_mid_outer_sample_fractions[1],0.333343505859375
matched_emitter_budgets[0].sobol.coverage.inner_mid_outer_sample_fractions[2],0.555572509765625
matched_emitter_budgets[0].sobol.coverage.nearest_neighbor_distance_mean,0.15381124792301523
matched_emitter_budgets[0].sobol.coverage.nearest_neighbor_distance_p95,0.22896670132462815
matched_emitter_budgets[0].sobol.coverage.polar_cell_occupancy_variance_mean,0.0
matched_emitter_budgets[0].stratified.sampler,STRATIFIED_GEODESIC_POLAR
matched_emitter_budgets[0].stratified.radial_scheme,AREA_STRATIFIED
matched_emitter_budgets[0].stratified.seed,101
matched_emitter_budgets[0].stratified.eta_theta,0.25
matched_emitter_budgets[0].stratified.eta_r,0.25
matched_emitter_budgets[0].stratified.n_theta,8
matched_emitter_budgets[0].stratified.n_r,8
matched_emitter_budgets[0].stratified.m,64
matched_emitter_budgets[0].stratified.n_emitters,65536
matched_emitter_budgets[0].stratified.resolution[0],256
matched_emitter_budgets[0].stratified.resolution[1],256
matched_emitter_budgets[0].stratified.views,4
matched_emitter_budgets[0].stratified.source_mass,9.088634202953163
matched_emitter_budgets[0].stratified.layout_digest,528dcc74bcd29d38f63e179e15c28b5047a9fb0931eeea641fc3ef6ec0ee959c
matched_emitter_budgets[0].stratified.whole_image_mse,0.5477566421031952
matched_emitter_budgets[0].stratified.foreground_mse,2.2168348449012174
matched_emitter_budgets[0].stratified.interior_gt8px_mse,0.17052177588144937
matched_emitter_budgets[0].stratified.silhouette_0_8px_mse,1.4584423351192592
matched_emitter_budgets[0].stratified.total_image_energy,193989.41796875
matched_emitter_budgets[0].stratified.foreground_mean_brightness,0.7685833687689695
matched_emitter_budgets[0].stratified.edge_sharpness,0.285735704738476
matched_emitter_budgets[0].stratified.reference_edge_sharpness,0.7208442552609092
matched_emitter_budgets[0].stratified.edge_sharpness_ratio,0.3963903473643611
matched_emitter_budgets[0].stratified.thin_feature_response_ratio,0.13347264612982193
matched_emitter_budgets[0].stratified.high_frequency_aliasing_error,0.6036096526356389
matched_emitter_budgets[0].stratified.geodesic_construction_seconds,1.0887916523497552
matched_emitter_budgets[0].stratified.source_evaluation_seconds,0.0016295576933771372
matched_emitter_budgets[0].stratified.finite_transport_seconds,1.3673258817289025
matched_emitter_budgets[0].stratified.detector_seconds,0.02590679214335978
matched_emitter_budgets[0].stratified.runtime_seconds,2.486972691025585
matched_emitter_budgets[0].stratified.attempted_packets,262144
matched_emitter_budgets[0].stratified.interaction_evaluations,54714368
matched_emitter_budgets[0].stratified.detector_writes,4194304
matched_emitter_budgets[0].stratified.peak_cuda_allocated_mib,725.29150390625
matched_emitter_budgets[0].stratified.peak_cuda_reserved_mib,1854.0
matched_emitter_budgets[0].stratified.cpu_rss_mib,4965.28125
matched_emitter_budgets[0].stratified.mapping_residual_p95,2.1691513418759878e-05
matched_emitter_budgets[0].stratified.image_digest,dca01e189e9ae3ffa265603e1466bf6149953b92ee5aa8a2c92978c01b1cd70b
matched_emitter_budgets[0].stratified.fixed_integration_steps_per_ray,32
matched_emitter_budgets[0].stratified.radial_stop_recording,linear interpolation at fixed-step crossings
matched_emitter_budgets[0].stratified.quadrature_mass_drift,0.0
matched_emitter_budgets[0].stratified.coverage.angular_gap_p50_radians,0.7869387160004158
matched_emitter_budgets[0].stratified.coverage.angular_gap_p90_radians,1.0006228757964573
matched_emitter_budgets[0].stratified.coverage.angular_gap_p95_radians,1.0532826769436863
matched_emitter_budgets[0].stratified.coverage.largest_angular_gap_radians,1.1697182930453307
matched_emitter_budgets[0].stratified.coverage.sectors_with_zero_samples,0
matched_emitter_budgets[0].stratified.coverage.radial_gap_p50,0.11519722237662731
matched_emitter_budgets[0].stratified.coverage.radial_gap_p90,0.15598123930096963
matched_emitter_budgets[0].stratified.coverage.radial_gap_p95,0.165274856714227
matched_emitter_budgets[0].stratified.coverage.radial_stratum_occupancy_minimum,8
matched_emitter_budgets[0].stratified.coverage.radial_stratum_occupancy_maximum,8
matched_emitter_budgets[0].stratified.coverage.inner_mid_outer_sample_fractions[0],0.125
matched_emitter_budgets[0].stratified.coverage.inner_mid_outer_sample_fractions[1],0.3266143798828125
matched_emitter_budgets[0].stratified.coverage.inner_mid_outer_sample_fractions[2],0.5483856201171875
matched_emitter_budgets[0].stratified.coverage.nearest_neighbor_distance_mean,0.08872323966070154
matched_emitter_budgets[0].stratified.coverage.nearest_neighbor_distance_p95,0.16166924184794473
matched_emitter_budgets[0].stratified.coverage.polar_cell_occupancy_variance_mean,0.0
matched_emitter_budgets[1].m,256
matched_emitter_budgets[1].n_emitters,262144
matched_emitter_budgets[1].n_theta,16
matched_emitter_budgets[1].n_r,16
matched_emitter_budgets[1].sobol.k_geom,64
matched_emitter_budgets[1].sobol.k_chart,1024
matched_emitter_budgets[1].sobol.m,256
