active_bases_per_query,active_k,active_parameters_per_affected_pixel,actual_batch_size,best_remaining_candidate_score,birth_count,birth_round,birth_top10_fraction,birth_top25_fraction,candidate_jacobian_nnz,cg_failures,cumulative_optimization_seconds,cumulative_scoring_seconds,geometry_rms_error,gradient_norm,image_loss,independent_sum_gain,joint_to_independent_ratio,last_new_only_gain,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_step_relative_improvement,line_search_failures,median_affected_pixels,median_affected_views,method,minimum_denominator_magnitude,near_null_candidate_fraction,no_birth_continuation_gain,nominal_batch_size,nonfinite_candidate_score_count,normal_consistency,normal_error,optimizer_steps,pairwise_correlation_max,pairwise_correlation_mean,peak_allocated_mib,peak_reserved_mib,phase,point_to_surface_mean,point_to_surface_p95,predicted_batch_gain,regional_ear_p2s_mean,regional_head_p2s_mean,regional_leg_p2s_mean,regional_torso_p2s_mean,requested_k,residual_norm,responsive_candidate_fraction,rho_off,root_failures,selection_seed,surface_rms,symmetric_chamfer,target_regime,target_seed,total_runtime_seconds,zero_jacobian_candidate_fraction
3.2008056640625,96,3.389001138449862,4,0.05434132805662816,64,16,0.0,0.5,2719574.0,0,8.282043991144747,1.2758394705597311,0.0024595046452816566,37.10896221154712,31.31708614439308,0.2411249928737231,1.002620844482417,,0.24175694398086903,56.27556213354811,0.11884801356855945,0.0037806420185054167,0,368.0,2.0,p4,0.4759851009630488,0.022629309445619583,0.0,4,0.0,0.9854582424486334,0.014541757551366552,21,0.005009186896309621,0.0008922852256461093,366.1689453125,414.0,A,0.002362762308374555,0.005735724694942443,0.24175694398086903,0.0022231970622275305,0.001653186315782585,0.004326941039802573,0.001536605847026253,96,7.914175401694491,0.9795258641242981,0.003244211239266192,0,0,0.005658588995675177,0.009158175140554307,bunny,0,11.32808534707874,0.020474137738347054
3.4996337890625,128,3.7429933856329796,4,0.0342152267558955,96,24,0.25,0.25,2718642.0,0,11.625695956870914,1.890931313391775,0.0024473594593296274,24.929439208943528,30.53454256892268,0.14544068308280755,0.9994986089798544,,0.145367760430346,41.05949594185456,0.08321266570209218,0.0027177911987490864,0,360.0,2.0,p4,0.4751535019417308,0.02343750186264515,0.0,4,0.0,0.985531068076684,0.014468931923315997,29,0.0009994481592182289,0.00016659386896404922,368.07861328125,414.0,A,0.0023328768167228983,0.005680434533916247,0.145367760430346,0.002095880556790489,0.0016294286190044797,0.004348409587943817,0.0015082206025303108,128,7.814671147133791,0.9776785969734192,0.00044188436700435613,0,0,0.005648413718584462,0.009144087281851027,bunny,0,16.12566255708225,0.0223214291036129
3.711181640625,160,3.961274715812995,4,0.027040753861620415,128,32,0.0,0.25,2718013.0,0,14.950347071979195,2.5081417525652796,0.002424334628321877,31.154355810088315,30.077312361499974,0.08761461364818812,0.9999981275142213,,0.08761444959107006,40.38406526247756,0.05414487165379356,0.0017969549642021887,0,353.0,2.0,p4,0.4752309984017859,0.0243055559694767,0.0,4,0.0,0.9855167034334187,0.014483296566581316,37,2.9457210484124425e-06,6.230841212124818e-07,369.2578125,414.0,A,0.0023011911862085535,0.00563537712531845,0.08761444959107006,0.0020567293321535843,0.0016237362988350541,0.004270211173607386,0.0014971899880562598,160,7.755941253194221,0.9768518805503845,9.512840119375057e-07,0,0,0.005637725157850993,0.009125804873102238,bunny,0,20.902615515049547,0.023148149251937866
3.9437255859375,192,4.25450111182842,4,0.016610823233065394,160,40,0.25,0.5,2717864.0,0,18.295875352807343,3.1311449902132154,0.0024036863815243134,17.561998593225603,29.71517095655483,0.06532383242352527,0.9999708998156672,,0.06532193148796042,29.03632714527288,0.06490745327068481,0.002179559515506574,0,345.0,2.0,p4,0.476139519180131,0.02524038590490818,0.0,4,0.0,0.9854948126296358,0.014505187370364214,45,6.241260533944781e-05,1.0532405198346403e-05,373.1611328125,414.0,A,0.0022714052317569537,0.005571320387613079,0.06532193148796042,0.0019752517144900643,0.001626773132138638,0.004232662800807792,0.0014795394666860034,192,7.709107724834935,0.9759615659713745,4.221195219124808e-05,0,0,0.005625359973921148,0.009109707356530512,bunny,0,25.72891375492327,0.024038461968302727
4.2574462890625,224,4.604313326551373,4,0.011361813304814092,192,48,0.0,0.0,2718023.0,0,21.630646687932312,3.749954074854031,0.00240161746614693,14.168033315933267,29.466903017159932,0.046517485252284954,0.9943603928106911,,0.046255144908027596,21.01431781989067,0.027911603713842936,0.000946322398448945,0,337.0,2.0,p4,0.47631875084318404,0.026249999180436134,0.0,4,0.0,0.9854812251053382,0.014518774894661801,53,0.01148953263034057,0.0019149221050567616,375.15234375,414.0,A,0.002249655321490913,0.0055735478924033325,0.046255144908027596,0.001921830035738109,0.0016011889108332488,0.004229393124359753,0.0014587593616415323,224,7.6768356784758565,0.9749999642372131,0.00661980985957212,0,0,0.005622088726922086,0.009098255636672357,bunny,0,30.518220491008833,0.02499999850988388
4.5234375,256,4.894099694811801,4,0.00947052159878438,224,56,0.0,0.75,2717779.0,0,25.009895177092403,4.367198957595974,0.0024211919324312503,12.749737386095916,29.279843406122126,0.03567608107567313,1.0000000000562492,,0.03567608107767989,15.175774598097957,0.021322976614435163,0.0007277176729393211,0,331.0,1.0,p4,0.47640996399306634,0.02734375,0.0,4,0.0,0.9854766203554772,0.014523379644522771,61,1.1183509217018363e-10,1.863918202836394e-11,375.9921875,414.0,A,0.002244848669096463,0.005617661699053708,0.03567608107767989,0.0018988794198484785,0.0015520410089775636,0.00426092644064215,0.0014511772224394155,256,7.652430124623436,0.9739583730697632,9.987612096156234e-11,0,0,0.005627796042130465,0.009097826931592676,bunny,0,35.34149888600223,0.0260416679084301
2.6119384765625,32,2.824718008771833,0,1.0468495992091489,0,0,,,2726522.0,0,1.7527119051665068,0.049180736066773534,0.0028336085124495403,0.32525648379010486,36.572362562666015,,,,,,,3.576415822189367e-08,0,388.0,2.0,p8,0.38623930760295966,0.021169353276491165,0.0,0,0.0,0.9850810164076027,0.014918983592397295,5,0.0,0.0,282.7607421875,354.0,A,0.002578329746078151,0.0067544522584080495,,0.0030965767441591225,0.0016931255169091214,0.004448312903433087,0.0016408229034003833,32,8.552468949100723,0.9808467626571655,0.0,0,0,0.0058290160577305255,0.009293792131943443,bunny,0,1.882929643848911,0.019153226166963577
2.948974609375,64,3.0553406940719023,8,0.09623599082706802,32,4,0.625,0.75,2721189.0,0,3.3833236773498356,0.3575635519810021,0.0025206485033576697,54.71714557676797,32.575036040328406,0.9364297215455064,0.9999480132868364,,0.9363810396421746,134.65828389937917,0.5040109006427471,0.015236560519477593,0,380.0,2.0,p8,0.47249036743564926,0.02187500149011612,0.0,8,0.0,0.9854687168633038,0.01453128313669616,9,0.00021778826386504137,7.778252448831207e-06,360.60693359375,394.0,A,0.0024310846372251676,0.005955824067819647,0.9363810396421746,0.002410471138847234,0.0016795752826689128,0.004393060904351825,0.001579410655286404,64,8.071559457791091,0.9791667461395264,9.279703873740362e-05,0,0,0.005696121993386601,0.009196364002023762,bunny,0,4.274719232926145,0.02083333395421505
3.2401123046875,96,3.4091137526794597,8,0.05494067055384748,64,8,0.25,0.5,2719724.0,0,5.03290319442749,0.6674164617434144,0.002432576541207725,38.31847314120735,31.403650101819544,0.4839379728464668,0.9999999995896799,,0.4839379726478973,83.17627808187754,0.24549754313095917,0.007756845330719313,0,367.0,2.0,p8,0.47823737684896694,0.022629309445619583,0.0,8,0.0,0.9854519021491708,0.014548097850829222,13,1.6558638255853365e-09,5.988972838367032e-11,365.86083984375,414.0,A,0.002359781378374621,0.005712442761202422,0.4839379726478973,0.002253909694893093,0.0016474890575289135,0.004288706397472372,0.0015425508370348093,96,7.9251056903765695,0.9795258641242981,2.799784752205001e-10,0,0,0.00564845410892339,0.009154532728030264,bunny,0,6.689411055995151,0.020474137738347054
3.533203125,128,3.7559349843613803,8,0.032165669126789115,96,12,0.375,0.5,2718363.0,0,6.735213618259877,0.9803140999283642,0.0023969428157524075,31.37201980777464,30.612821591959552,0.28103056370961244,0.9995593686834894,,0.28090673284234535,68.00849589635095,0.15569543825800025,0.005060219122848388,0,358.0,2.0,p8,0.4771460889882164,0.02343750186264515,0.0,8,0.0,0.9855158092034105,0.014484190796589469,17,0.0017064391847907217,6.094840194857145e-05,366.26318359375,414.0,A,0.002320835413397803,0.005613678211719379,0.28090673284234535,0.0020852011241109564,0.001619543558588244,0.00429707470874665,0.0015161095021472347,128,7.824681666618719,0.9776785969734192,0.000774414590209291,0,0,0.005629653188852613,0.009133533524123296,bunny,0,9.17252862895839,0.0223214291036129
