metric,value
center_bank.reference_pool_ids[147],288
center_bank.reference_pool_ids[148],1186
center_bank.reference_pool_ids[149],2569
center_bank.reference_pool_ids[150],2147
center_bank.reference_pool_ids[151],1053
center_bank.reference_pool_ids[152],3808
center_bank.reference_pool_ids[153],2967
center_bank.reference_pool_ids[154],2880
center_bank.reference_pool_ids[155],3636
center_bank.reference_pool_ids[156],2581
center_bank.reference_pool_ids[157],4014
center_bank.reference_pool_ids[158],3085
center_bank.reference_pool_ids[159],870
center_bank.reference_pool_ids[160],1570
center_bank.reference_pool_ids[161],3997
center_bank.reference_pool_ids[162],1387
center_bank.reference_pool_ids[163],1828
center_bank.reference_pool_ids[164],1569
center_bank.reference_pool_ids[165],693
center_bank.reference_pool_ids[166],1478
center_bank.reference_pool_ids[167],190
center_bank.reference_pool_ids[168],2945
center_bank.reference_pool_ids[169],3410
center_bank.reference_pool_ids[170],2301
center_bank.reference_pool_ids[171],1147
center_bank.reference_pool_ids[172],3112
center_bank.reference_pool_ids[173],2730
center_bank.reference_pool_ids[174],1091
center_bank.reference_pool_ids[175],675
center_bank.reference_pool_ids[176],3771
center_bank.reference_pool_ids[177],3829
center_bank.reference_pool_ids[178],230
center_bank.reference_pool_ids[179],736
center_bank.reference_pool_ids[180],1775
center_bank.reference_pool_ids[181],455
center_bank.reference_pool_ids[182],571
center_bank.reference_pool_ids[183],1043
center_bank.reference_pool_ids[184],240
center_bank.reference_pool_ids[185],1480
center_bank.reference_pool_ids[186],2598
center_bank.reference_pool_ids[187],815
center_bank.reference_pool_ids[188],2338
center_bank.reference_pool_ids[189],3910
center_bank.reference_pool_ids[190],1004
center_bank.reference_pool_ids[191],3088
center_bank.reference_pool_ids[192],544
center_bank.reference_pool_ids[193],3438
center_bank.reference_pool_ids[194],2580
center_bank.reference_pool_ids[195],2162
center_bank.reference_pool_ids[196],3836
center_bank.reference_pool_ids[197],3124
center_bank.reference_pool_ids[198],3086
center_bank.reference_pool_ids[199],2578
center_bank.reference_pool_ids[200],631
center_bank.reference_pool_ids[201],517
center_bank.reference_pool_ids[202],3906
center_bank.reference_pool_ids[203],1891
center_bank.reference_pool_ids[204],1809
center_bank.reference_pool_ids[205],2348
center_bank.reference_pool_ids[206],668
center_bank.reference_pool_ids[207],1950
center_bank.reference_pool_ids[208],2188
center_bank.reference_pool_ids[209],217
center_bank.reference_pool_ids[210],2302
center_bank.reference_pool_ids[211],2554
center_bank.reference_pool_ids[212],2902
center_bank.reference_pool_ids[213],175
center_bank.reference_pool_ids[214],1748
center_bank.reference_pool_ids[215],2757
center_bank.reference_pool_ids[216],140
center_bank.reference_pool_ids[217],2289
center_bank.reference_pool_ids[218],768
center_bank.reference_pool_ids[219],2589
center_bank.reference_pool_ids[220],4035
center_bank.reference_pool_ids[221],3822
center_bank.reference_pool_ids[222],3845
center_bank.reference_pool_ids[223],712
center_bank.reference_pool_ids[224],3434
center_bank.reference_pool_ids[225],2287
center_bank.reference_pool_ids[226],93
center_bank.reference_pool_ids[227],570
center_bank.reference_pool_ids[228],893
center_bank.reference_pool_ids[229],2379
center_bank.reference_pool_ids[230],927
center_bank.reference_pool_ids[231],2820
center_bank.reference_pool_ids[232],1049
center_bank.reference_pool_ids[233],2979
center_bank.reference_pool_ids[234],2971
center_bank.reference_pool_ids[235],243
center_bank.reference_pool_ids[236],2791
center_bank.reference_pool_ids[237],2334
center_bank.reference_pool_ids[238],2070
center_bank.reference_pool_ids[239],664
center_bank.reference_pool_ids[240],477
center_bank.reference_pool_ids[241],3694
center_bank.reference_pool_ids[242],3184
center_bank.reference_pool_ids[243],1035
center_bank.reference_pool_ids[244],2805
