above_one_rgb_scalars,affected_pixel_fraction,affected_rgb_scalar_fraction,attempted_packets,below_zero_rgb_scalars,category,chunk_size,clamp_affected_frozen_fd_change_fraction,clamp_affected_full_fd_change_fraction,clamp_affected_jacobian_entry_fraction,common_support_mse,comparison,continuous_detector_writes,cpu_peak_rss_mib,current_image_energy,emitters,epsilon,estimator,events_per_second,foreground_self_mse,fraction_self_sse_from_support_xor,hard_bin_writes,independent_self_mse,interior_mse,interior_self_mse,mae,mean_contribution_count,mean_detector_weight,mean_foreground_brightness,mse,mse_vs_8N,packets_per_second,parameter,peak_allocated_mib,peak_reserved_mib,regions,resolution,retained_events,rmse,rmse_vs_8N,runtime_seconds,sample_realization_gradient,sample_set,scale_normalized_self_rmse,scale_normalized_whole_image_self_mse,scientific_mc_measurement_clamped,section,seed,self_mse,silhouette_0_8px_self_mse,silhouette_mse,silhouette_regions,support_switch_scalar_fraction,support_xor_fraction,support_xor_pixel_fraction,support_xor_sse_fraction,switch_pixel_mse,target_image_energy,target_mean_square,threshold,topology_component_fraction_of_full_norm,total_image_energy,visibility_switch_fraction,whole_image_self_mse,whole_image_self_sse
,,,,,,,,,,,,,,,262144,,HARD_BIN_MONTE_CARLO,,,,,0.03238156909743945,,,,,,0.8526968320321101,,0.0,,,,,,,,,0.0,,,,,,,convergence,211,,,,,,,,,,,,,,1118901.9296875,,,
,,,,,,,,,,,,,,,262144,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.0030986571218818426,,,,,,0.7909553146304864,,0.0,,,,,,,,,0.0,,,,,,,convergence,211,,,,,,,,,,,,,,941829.60546875,,,
,,,,,,,,,,,,,,,32768,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.004167087492533028,,,,,,0.5757484616888903,,0.0026312070588270825,,,,,,,,,0.05129529275505777,,,,,,,convergence,307,,,,,,,,,,,,,,430210.7138671875,,,
,,,,,,,,,,,,,,,32768,,UNGATED_NORMALIZED_SPLAT,,,,,0.0003600760343639801,,,,,,0.5809662136470044,,0.0003000137871519352,,,,,,,,,0.017320906071910187,,,,,,,convergence,307,,,,,,,,,,,,,,443430.935546875,,,
,,,,,,,,,,,,,,,32768,,HARD_BIN_MONTE_CARLO,,,,,0.4480633834997813,,,,,,0.8540106423688486,,0.2072407474120458,,,,,,,,,0.4552370233318527,,,,,,,convergence,307,,,,,,,,,,,,,,1939603.8125,,,
,,,,,,,,,,,,,,,32768,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.07632441644867262,,,,,,0.7910124946181772,,0.036912406856815023,,,,,,,,,0.19212601816728264,,,,,,,convergence,307,,,,,,,,,,,,,,1087018.7890625,,,
,,,,,,,,,,,,,,,65536,,LEGACY_GATED_NORMALIZED_SPLAT,,,,,0.00011381831063772552,,,,,,0.5877200509955909,,0.0002803994041945164,,,,,,,,,0.016745130760747032,,,,,,,convergence,307,,,,,,,,,,,,,,439466.681640625,,,
,,,,,,,,,,,,,,,65536,,UNGATED_NORMALIZED_SPLAT,,,,,0.00016653722850605844,,,,,,0.5820186760743091,,0.00012487301986160068,,,,,,,,,0.011174659720170484,,,,,,,convergence,307,,,,,,,,,,,,,,443795.2373046875,,,
,,,,,,,,,,,,,,,65536,,HARD_BIN_MONTE_CARLO,,,,,0.16016586720943451,,,,,,0.8538893347455925,,0.06152899439136187,,,,,,,,,0.24805038679946032,,,,,,,convergence,307,,,,,,,,,,,,,,1363238.90625,,,
,,,,,,,,,,,,,,,65536,,CONTINUOUS_KERNEL_MONTE_CARLO,,,,,0.018037755414843558,,,,,,0.7909001287851252,,0.006683777350311478,,,,,,,,,0.08175437205624833,,,,,,,convergence,307,,,,,,,,,,,,,,967814.578125,,,
