method,target_regime,target_seed,selection_seed,active_k,birth_count,image_loss,residual_norm,geometry_rms_error,optimizer_steps,last_step_relative_improvement,gradient_norm,cumulative_scoring_seconds,cumulative_optimization_seconds,total_runtime_seconds,peak_allocated_mib,peak_reserved_mib,best_remaining_candidate_score,last_predicted_quadratic,last_predicted_raw,last_realized_birth_gain,last_new_only_gain,responsive_candidate_fraction,zero_jacobian_candidate_fraction,median_affected_pixels,median_affected_views,no_birth_continuation_gain,root_failures
random,sparse,5,401,256,224,10.725581813911447,4.63154009243393,0.002489270807377389,228,0.0,10.324412214043313,16.593451536959037,27.4889490485657,69.41342966607772,231.7109375,278.0,3.6165953895287624,0.0010481382774427108,0.3315847940706234,0.0,1.7763568394002505e-15,0.99609375,0.00390625,692.0,1.0,0.0,0
random,sparse,5,503,32,0,14.795654582380525,5.43978944121563,0.002837898765988333,4,9.315704945588907e-09,0.036033480758719996,0.07456073490902781,0.4118059000466019,0.6065878618974239,208.779296875,230.0,4.650679864842248,,,,,0.9969757795333862,0.0030241934582591057,693.0,1.0,1.4263790149016131e-09,0
random,sparse,5,503,48,16,14.479586696664787,5.381372816794017,0.0028141749288904602,20,1.3332051974829233e-05,0.9441500970239445,1.2613290187437087,2.1589851363096386,5.456116138026118,213.24169921875,242.0,4.6499787120058755,0.0007098757923981119,0.17668214620474476,0.00019304517610585492,9.971640889538946e-05,0.9969261884689331,0.003073770320042968,693.0,1.0,8.66395583791757e-05,0
random,sparse,5,503,64,32,13.90919357842562,5.2743139038979505,0.002790326425464247,36,8.435559596334715e-05,1.3469001033828847,2.4501193377655,3.941446997458115,10.288260764908046,216.25,262.0,4.16842969954513,0.00028570521177340917,0.34948194388629505,0.0011734172979895874,0.0,0.9968750476837158,0.0031250002793967724,694.0,1.0,0.0003685226088414595,0
random,sparse,5,503,96,64,13.510446772340913,5.198162516186064,0.0027721389852303534,68,3.2602957043277353e-06,1.4945792783612888,4.817969138966873,7.540879194624722,19.85589428897947,218.37890625,262.0,4.163141206669821,7.17489856114354e-06,0.07774037113202398,4.404819518200043e-05,0.0,0.9967672228813171,0.003232758492231369,697.0,1.0,1.7161522810837937e-05,0
random,sparse,5,503,128,96,12.43914104518083,4.987813357610894,0.0027131510352124254,100,0.0001777918412269058,9.944585152105464,7.18024691962637,11.260896120918915,29.577816678909585,220.978515625,262.0,4.022157243334103,0.002627178898830356,0.9695787526567021,0.002211971060116724,1.7763568394002505e-15,0.996651828289032,0.00334821455180645,694.0,1.0,0.00045936701873650065,0
random,sparse,5,503,192,160,11.443913362979869,4.784122356917696,0.0026034534119071676,164,8.238301823450291e-05,9.736297128114265,11.922079356620088,19.15823967475444,49.31882678181864,226.6123046875,262.0,4.02582619251402,9.305011116406606e-05,0.2641603914290941,0.0009428617990590027,0.0,0.9963942766189575,0.003605769481509924,698.0,1.0,0.0003738964992141547,0
random,sparse,5,503,256,224,9.197038497424016,4.288831658487895,0.002443235079836174,228,3.913415615948231e-05,14.833726933939115,16.65298937354237,27.707406277069822,69.77486826782115,236.46337890625,280.0,3.0008967339544763,0.00036388971404534835,0.3507796069194925,0.0003599324264111914,0.0,0.9973958730697632,0.0026041667442768812,694.0,1.0,0.0003831595458727577,0
quadratic,sparse,17,0,32,0,18.523056907647373,6.086551882247842,0.002966813197624921,4,1.4803437069266529e-09,0.01507864235196676,0.07490786397829652,0.41030543902888894,0.6065297601744533,210.13916015625,230.0,2.9938847729906137,,,,,0.9969757795333862,0.0030241934582591057,694.0,1.0,2.9833913117727207e-10,0
quadratic,sparse,17,0,48,16,7.328236648977427,3.8283773714140112,0.0021067708486364987,20,0.04826470995230111,41.4708393387945,1.2635644173715264,2.198443471454084,5.539631333202124,214.7392578125,248.0,0.6579549244486984,0.6641699301405068,24.188925578318234,0.37163192331241124,0.33279824704004213,0.9969261884689331,0.003073770320042968,688.0,1.0,0.001582985335856435,0
