appearance,camera_hits,center_of_mass_error_normalized,cone_power,depth_rmse_on_overlap,depth_tolerance,detector_seconds,edge_f1,emitted_photons,emitters,footprint,foreground_fraction,maximum_contributors_per_pixel,maximum_pixels_per_surface_sample,mean_pixels_per_responsive_surface_sample,name,occupied_pixels,operator_density,operator_nnz,packets_per_emitter,peak_allocated_mib,phase,pixel_mse,projected_surface_points,psnr,reduction,reference_foreground_fraction,resolution,runtime_seconds,scene_seconds,selection_score,shared_surface_build_seconds,silhouette_f1,silhouette_iou,silhouette_precision,silhouette_recall,ssim,surface_hits,surface_samples,surviving_packets,transport_nnz,view
position,21789,0.058203762537166026,128.0,inf,,0.005451855948194861,0.08951892566286483,262144,8192,,0.6759796142578125,,,,legacy_current_view_3,18200,,,32,64.197265625,legacy_current,0.106972970367687,,9.707259447736941,,0.3010406494140625,256,1.0064038869459182,1.0009520309977233,,,0.44341714821177575,0.28486575430429023,0.32044423376447484,0.7195499011607278,0.006406190664193849,4861,,21786,72448,3
position,19088,0.06591194380365764,128.0,inf,,0.004981525009498,0.08816920679339534,262144,8192,,0.6417694091796875,,,,legacy_current_view_4,16368,,,32,64.197265625,legacy_current,0.07283066148494899,,11.376857455454058,,0.24493408203125,256,1.0059335560072213,1.0009520309977233,,,0.3547349038908297,0.21560957242071793,0.2450605102356214,0.6421006728133566,0.013726454895993142,4861,,19088,65176,4
position,11651,0.08668399197939729,128.0,inf,,0.004690663889050484,0.10823509778367817,262144,8192,,0.4658660888671875,,,,legacy_current_view_5,10393,,,32,64.197265625,legacy_current,0.062009488155213704,,12.075418534342734,,0.2535552978515625,256,1.0056426948867738,1.0009520309977233,,,0.41295495036905067,0.26020367252024695,0.3188562444728309,0.5858458205452247,0.02995996956465168,4861,,11568,41393,5
position,13415,0.10118795085385388,128.0,inf,,0.004695751005783677,0.09028417313511379,262144,8192,,0.4970245361328125,,,,legacy_current_view_6,11758,,,32,64.197265625,legacy_current,0.08531712419077281,,10.689637918668595,,0.292572021484375,256,1.005647782003507,1.0009520309977233,,,0.32369026223742436,0.19309692889421748,0.25711478832161605,0.43678940231563573,0.02936130799069682,4861,,13326,46746,6
position,10771,0.02660883023521514,128.0,inf,,0.004684876184910536,0.11051415847919055,262144,8192,,0.4047393798828125,,,,legacy_current_view_7,9207,,,32,64.197265625,legacy_current,0.1078523707565614,,9.671703040136723,,0.3040313720703125,256,1.0056369071826339,1.0009520309977233,,,0.34497308934338,0.20843956501378844,0.3020546654099906,0.40210790464240903,0.05353797110999278,4861,,10611,36551,7
constant,21789,0.058203762537166026,128.0,inf,,0.005282613914459944,0.08951892566286483,262144,8192,,0.6759796142578125,,,,legacy_constant_appearance_control,18200,,,32,65.37646484375,appearance_control,0.15353364118446852,,8.137964502843602,,0.3010406494140625,256,1.008943720953539,1.003661107039079,,,0.44341714821177575,0.28486575430429023,0.32044423376447484,0.7195499011607278,0.004018777033522105,4861,,21786,72448,3
position,19992,0.045736480303895474,16.0,inf,,0.0061787639278918505,0.09546303338351615,262144,8192,,0.665374755859375,,,,legacy_spread_wide,17050,,,32,64.87646484375,directional_spread,0.10203923556339173,,9.912328036083501,,0.3010406494140625,256,1.0422716999892145,1.0360929360613227,,,0.455261703639378,0.2947176908295515,0.3306196394991515,0.730751685336307,0.006092036910591289,7399,,19885,67952,
position,21235,0.04489819507211107,128.0,inf,,0.004999527940526605,0.09505179032721606,262144,8192,,0.6855316162109375,,,,legacy_spread_medium,18026,,,32,64.87646484375,directional_spread,0.1069176373327303,,9.709506468542866,,0.3010406494140625,256,1.0528438459150493,1.0478443179745227,,,0.44333085869834205,0.2847945314362928,0.31900638814076165,0.7264433068072381,0.005911134924364005,6441,,21232,71789,
position,21705,0.04492445945686918,1024.0,inf,,0.0043491090182214975,0.09602139746749376,262144,8192,,0.6598358154296875,,,,legacy_spread_narrow,17988,,,32,64.87646484375,directional_spread,0.10931674301550748,,9.613133161621816,,0.3010406494140625,256,1.0254056530538946,1.0210565440356731,,,0.44041796353935087,0.28239486813970066,0.3206761788035058,0.7028739419129201,0.0077976053082511555,6241,,21705,68765,
shaded,,0.0013864054961231496,projection_limit,0.03794110547211732,0.0,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,deterministic_projection_limit,,2.395245246589184e-06,20575,,44.62548828125,directional_spread,0.0032103240861379653,131072,24.93451122823552,nearest_depth,0.3010406494140625,256,0.0038524779956787825,,0.9464368244093815,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.8998281773612948,,131072,,,3
shaded,,0.0010721630409359529,,0.16129404862937208,,,0.9292649098474342,,,bilinear,0.3124847412109375,1,4,1.959525404267534,surface_samples_32768,,9.536277502775192e-06,20479,,14.048828125,surface_sample_scaling,0.003384262376847861,32768,24.70535974120027,nearest_depth,0.3010406494140625,256,0.0023794719018042088,,,0.3627400321420282,0.9800039793076005,0.9607919633278065,0.9620586942721813,0.9986314562319428,0.8607460109814223,,32768,,,3
shaded,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,surface_samples_131072,,2.395245246589184e-06,20575,,42.62548828125,surface_sample_scaling,0.0032103240861379653,131072,24.93451122823552,nearest_depth,0.3010406494140625,256,0.0037324391305446625,,,0.46297942101955414,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.8998281773612948,,131072,,,3
shaded,,0.0014745011894827433,,0.0399375872817178,,,1.0,,,bilinear,0.314422607421875,1,4,1.0979911546864176,surface_samples_524288,,5.997135303914547e-07,20606,,170.50048828125,surface_sample_scaling,0.0034538025528762038,524288,24.617024938233865,nearest_depth,0.3010406494140625,256,0.011678427923470736,,,1.469645770965144,0.9782570968141813,0.9574395807046492,0.9574395807046492,1.0,0.8899289560313153,,524288,,,3
shaded,,0.0013864054961231496,,0.03794110547211732,,,1.0,,,bilinear,0.3139495849609375,1,4,1.2630448127685698,resolution_256,,2.395245246589184e-06,20575,,42.62548828125,resolution_scaling,0.0032103240861379653,131072,24.93451122823552,nearest_depth,0.3010406494140625,256,0.003769197966903448,,,,0.9790095275903137,0.9588821385176185,0.9588821385176185,1.0,0.8998281773612948,,131072,,,3
shaded,,0.0005290925784542003,,0.18723219019070353,,,0.8008398320335933,,,bilinear,0.306396484375,1,4,1.9498931831423578,resolution_512,,2.337619662284851e-06,80320,,55.064453125,resolution_scaling,0.002273553807330322,131072,26.432947630554775,nearest_depth,0.3010063171386719,512,0.005716087995097041,,,,0.988977999962318,0.9781963200854754,0.9802788844621514,0.997832891885384,0.8549926998475875,,131072,,,3
position,5327,0.03897816127164375,128.0,inf,,0.003064599819481373,0.10540786031995052,65536,8192,,0.272430419921875,,,,legacy_photons_8,5130,,,8,44.96337890625,photon_scaling,0.10133658118213934,,9.94233751700936,,0.3010406494140625,256,0.28370902594178915,0.2806444261223078,,,0.3091823430806482,0.18285966071821988,0.32541727344012544,0.29449034416341424,0.04448087083063834,1596,,5326,20450,
position,21235,0.04489819507211107,128.0,inf,,0.004287485033273697,0.09505179032721606,262144,8192,,0.6855316162109375,,,,legacy_photons_32,18026,,,32,65.65087890625,photon_scaling,0.1069176373327303,,9.709506468542866,,0.3010406494140625,256,1.063691328978166,1.0594038439448923,,,0.44333085869834205,0.2847945314362928,0.31900638814076165,0.7264433068072381,0.005911134924364005,6441,,21232,71789,
position,85214,0.05879791918933274,128.0,inf,,0.011152334045618773,0.05207699715210792,1048576,8192,,0.969207763671875,,,,legacy_photons_128,46543,,,128,151.67529296875,photon_scaling,0.19159155647071965,,7.176236343961788,,0.3010406494140625,256,3.997287573060021,3.986135239014402,,,0.4663471356325153,0.30407606992919356,0.3055984130482698,0.9838815956206599,0.005703202096213915,25459,,85202,182620,
position,1294,0.03175306024489777,128.0,inf,,0.002963254926726222,0.09907083839104255,16384,2048,,0.075286865234375,,,,legacy_emitters_2048,1286,,,8,38.66650390625,emitter_scaling,0.10316490151141754,,9.864680320944718,,0.3010406494140625,256,0.0742591368034482,0.07129588187672198,,,0.13453351173823136,0.07211789254042775,0.33623834616943654,0.08408941152617974,0.29246879467221315,394,,1294,5138,
position,5256,0.03810330538756074,128.0,inf,,0.002759842900559306,0.10955667070551318,65536,8192,,0.267303466796875,,,,legacy_emitters_8192,5042,,,8,44.96337890625,emitter_scaling,0.10126002403557666,,9.945619738628944,,0.3010406494140625,256,0.25857186573557556,0.25581202283501625,,,0.3085349155636696,0.18240690771721532,0.3280054800776344,0.2912463885650565,0.042139379499284695,1622,,5256,20098,
position,20696,0.048146245634900275,128.0,inf,,0.004325343994423747,0.09305984302887671,262144,32768,,0.681121826171875,,,,legacy_emitters_32768,17639,,,8,65.65087890625,emitter_scaling,0.10684341628889632,,9.712522339818522,,0.3010406494140625,256,1.0217285749968141,1.0174032310023904,,,0.43969736044867713,0.2818026127130795,0.31701689143778844,0.7172689948806326,0.005800128251068882,6449,,20694,70332,
