metric,value
version,0.8.6
scope,fixed latent continuous zero-set source experiment; no novelty or physical-radiometry claim
plane_source_integral.rows[14].continuous_max_adjacent_jump,4.624496815708312e-06
plane_source_integral.rows[14].continuous_max_derivative_jump,0.0006248792540759496
plane_source_integral.rows[14].hard_translation_cv,0.0017126948003880562
plane_source_integral.rows[14].hard_max_adjacent_jump,0.024803141437003795
plane_source_integral.rows[15].anchors,16384
plane_source_integral.rows[15].h_s,0.07874506561842959
plane_source_integral.rows[15].epsilon_over_h_s,0.125
plane_source_integral.rows[15].epsilon_s,0.009843133202303699
plane_source_integral.rows[15].continuous_mean_mass,3.999999700042863
plane_source_integral.rows[15].continuous_relative_bias,7.498928422666751e-08
plane_source_integral.rows[15].continuous_translation_cv,3.4166984784974472e-06
plane_source_integral.rows[15].continuous_max_adjacent_jump,5.580690074369343e-05
plane_source_integral.rows[15].continuous_max_derivative_jump,0.006011421316941323
plane_source_integral.rows[15].hard_translation_cv,0.0030319157065795766
plane_source_integral.rows[15].hard_max_adjacent_jump,0.0496062828740067
plane_source_integral.rows[16].anchors,16384
plane_source_integral.rows[16].h_s,0.07874506561842959
plane_source_integral.rows[16].epsilon_over_h_s,0.0625
plane_source_integral.rows[16].epsilon_s,0.004921566601151849
plane_source_integral.rows[16].continuous_mean_mass,3.9999975115539574
plane_source_integral.rows[16].continuous_relative_bias,6.221115106397335e-07
plane_source_integral.rows[16].continuous_translation_cv,4.2564586782894045e-05
plane_source_integral.rows[16].continuous_max_adjacent_jump,0.000662370267333845
plane_source_integral.rows[16].continuous_max_derivative_jump,0.06824410771088196
plane_source_integral.rows[16].hard_translation_cv,0.006208130853851754
plane_source_integral.rows[16].hard_max_adjacent_jump,0.049606282874007146
plane_source_integral.rows[17].anchors,16384
plane_source_integral.rows[17].h_s,0.07874506561842959
plane_source_integral.rows[17].epsilon_over_h_s,0.03125
plane_source_integral.rows[17].epsilon_s,0.0024607833005759246
plane_source_integral.rows[17].continuous_mean_mass,3.999972973992035
plane_source_integral.rows[17].continuous_relative_bias,6.756501991223018e-06
plane_source_integral.rows[17].continuous_translation_cv,0.0006964728414035088
plane_source_integral.rows[17].continuous_max_adjacent_jump,0.007635323160344321
plane_source_integral.rows[17].continuous_max_derivative_jump,0.9866777051823306
plane_source_integral.rows[17].hard_translation_cv,0.0136795721128878
plane_source_integral.rows[17].hard_max_adjacent_jump,0.09921256574801296
plane_source_integral.rows[18].anchors,32768
plane_source_integral.rows[18].h_s,0.06250000000000001
plane_source_integral.rows[18].epsilon_over_h_s,1.0
plane_source_integral.rows[18].epsilon_s,0.06250000000000001
plane_source_integral.rows[18].continuous_mean_mass,4.0000000011633325
plane_source_integral.rows[18].continuous_relative_bias,2.908331353523863e-10
plane_source_integral.rows[18].continuous_translation_cv,1.4178166217810656e-08
plane_source_integral.rows[18].continuous_max_adjacent_jump,4.423214150506283e-08
plane_source_integral.rows[18].continuous_max_derivative_jump,4.053033819673146e-06
plane_source_integral.rows[18].hard_translation_cv,0.00021100326702915592
plane_source_integral.rows[18].hard_max_adjacent_jump,0.00390625
plane_source_integral.rows[19].anchors,32768
plane_source_integral.rows[19].h_s,0.06250000000000001
plane_source_integral.rows[19].epsilon_over_h_s,0.5
plane_source_integral.rows[19].epsilon_s,0.03125000000000001
plane_source_integral.rows[19].continuous_mean_mass,3.999999994410262
plane_source_integral.rows[19].continuous_relative_bias,1.3974345014489131e-09
plane_source_integral.rows[19].continuous_translation_cv,8.119086359846588e-08
plane_source_integral.rows[19].continuous_max_adjacent_jump,3.435451425559677e-07
plane_source_integral.rows[19].continuous_max_derivative_jump,4.6082281244252954e-05
plane_source_integral.rows[19].hard_translation_cv,0.0006922608906069713
plane_source_integral.rows[19].hard_max_adjacent_jump,0.007812500000000444
plane_source_integral.rows[20].anchors,32768
plane_source_integral.rows[20].h_s,0.06250000000000001
plane_source_integral.rows[20].epsilon_over_h_s,0.25
plane_source_integral.rows[20].epsilon_s,0.015625000000000003
plane_source_integral.rows[20].continuous_mean_mass,3.9999999592084685
plane_source_integral.rows[20].continuous_relative_bias,1.0197882871487707e-08
plane_source_integral.rows[20].continuous_translation_cv,2.458270191588081e-07
plane_source_integral.rows[20].continuous_max_adjacent_jump,3.6930914033561635e-06
plane_source_integral.rows[20].continuous_max_derivative_jump,0.0004566230635418833
plane_source_integral.rows[20].hard_translation_cv,0.0012638641718074207
plane_source_integral.rows[20].hard_max_adjacent_jump,0.015625000000000444
plane_source_integral.rows[21].anchors,32768
plane_source_integral.rows[21].h_s,0.06250000000000001
plane_source_integral.rows[21].epsilon_over_h_s,0.125
plane_source_integral.rows[21].epsilon_s,0.007812500000000002
plane_source_integral.rows[21].continuous_mean_mass,4.000000352078234
plane_source_integral.rows[21].continuous_relative_bias,8.80195585306609e-08
plane_source_integral.rows[21].continuous_translation_cv,1.5358823373369296e-06
plane_source_integral.rows[21].continuous_max_adjacent_jump,2.5002629078230143e-05
plane_source_integral.rows[21].continuous_max_derivative_jump,0.0028653409261778506
plane_source_integral.rows[21].hard_translation_cv,0.0026446859515760934
plane_source_integral.rows[21].hard_max_adjacent_jump,0.03125
plane_source_integral.rows[22].anchors,32768
plane_source_integral.rows[22].h_s,0.06250000000000001
plane_source_integral.rows[22].epsilon_over_h_s,0.0625
plane_source_integral.rows[22].epsilon_s,0.003906250000000001
plane_source_integral.rows[22].continuous_mean_mass,3.999988653122643
plane_source_integral.rows[22].continuous_relative_bias,2.8367193392053736e-06
plane_source_integral.rows[22].continuous_translation_cv,2.193850169347024e-05
plane_source_integral.rows[22].continuous_max_adjacent_jump,0.00021135339819977617
plane_source_integral.rows[22].continuous_max_derivative_jump,0.0321783577911674
plane_source_integral.rows[22].hard_translation_cv,0.00468174450311431
plane_source_integral.rows[22].hard_max_adjacent_jump,0.06250000000000044
plane_source_integral.rows[23].anchors,32768
