candidate_id,control_label,target_source_id,center_x,center_y,center_z,support_radius,visibility,jacobian_nnz,affected_pixels,jacobian_norm,local_residual,raw_alignment,quadratic_score,novelty_ratio,orthogonalized_score,rank_increase,actual_gain_new_only,actual_gain_joint,relative_gain_joint,geometry_error_improvement
34,ordinary,56,-0.018561228338597927,0.7144598751357881,0.6994301735152098,0.34,2,312,104,1.417072328425202,0.00521898905942387,0.0036009460254042506,6.457273572199838e-06,0.987536632035925,6.621293186162467e-06,True,3.228571600743385e-06,5.3833855041766215e-06,0.00045843319723134693,1.1467243852374413e-06
35,ordinary,41,-0.9653663379982736,0.0005985324098577668,-0.26089744195518105,0.34,1,624,208,2.9429651242179595,0.012577524319576207,0.014804531241407421,2.530574282390848e-05,0.8276398469955404,3.69433483911561e-05,True,1.2658022093933047e-05,6.303873976524002e-06,0.0005368192747406427,1.1436874534403096e-06
36,ordinary,44,0.20687823571934916,0.3005700875998836,-0.9310526397716983,0.34,1,378,126,5.563745069249311,0.009308462952746342,0.05122809688842425,8.477777211877986e-05,0.9972089075873899,8.525300832252418e-05,True,4.238888285686658e-05,1.6016939500609895e-05,0.0013639552247240929,1.3153197138482745e-06
37,ordinary,31,-0.593406366130394,-0.6802119998632914,0.4303260622805716,0.34,3,444,148,3.840059232000593,0.01601360845487704,0.014779659415563855,1.481334049650265e-05,0.9485171302813648,1.6457708297307916e-05,True,7.40623029064566e-06,6.275571861467932e-06,0.0005344091502783509,1.2181456246279036e-06
38,ordinary,26,0.9819360183157259,0.16711841116716275,0.08873044901960969,0.34,2,534,178,4.735678678807584,0.1108228905950468,0.4500375363635293,0.00903094135890844,0.999764640891467,0.009035193888393498,True,0.004517720490723724,0.00442397996973335,0.3767330577456929,-1.9026617168612335e-06
39,ordinary,46,0.10251310299780152,-0.9655598477755999,0.2391343640661514,0.34,1,480,160,4.771561119794114,0.007374726803004309,0.033213030299466664,4.8450249837457165e-05,0.818966282426809,7.226479317326589e-05,True,2.4224792358066086e-05,1.000494396216113e-05,0.0008519914550305828,1.2042886430539408e-06
40,ordinary,9,0.714206548540315,0.10462705109132231,-0.6920709401514158,0.34,2,138,46,0.05809033444203563,0.0022939849934583414,2.198251134382172e-05,1.432008418858131e-07,0.8715400401232841,1.8852486540532312e-07,True,7.159942831506949e-08,5.323892221506532e-06,0.0004533669251304399,1.1117027628735395e-06
41,ordinary,50,0.651875311044774,0.291202542271687,0.700185445596226,0.34,3,1539,513,5.471198263345854,0.04857820805963265,0.02304588136400941,1.7742782871918412e-05,0.9552676290343223,1.9443373346366325e-05,True,8.875861276326502e-06,7.503691293989784e-06,0.0006389921710551717,1.1208831904264624e-06
42,ordinary,61,-0.8421750102563922,0.45768279940416856,-0.285074915117429,0.34,1,600,200,6.184177775838349,0.015411476356653759,0.024313419796317626,1.545710531213438e-05,0.9841165547525205,1.596008176373741e-05,True,7.727906582467858e-06,7.663597530087676e-06,0.0006526093134676395,1.1615942627408071e-06
43,ordinary,15,-0.6272382509678468,-0.7530156217893326,0.1988457941823798,0.34,3,342,114,0.7715313474715838,0.007771874286658234,0.002421794649694425,9.852977046364836e-06,0.8779948500542712,1.277753543474692e-05,True,4.926514124106718e-06,5.350960927697976e-06,0.00045567201613955157,1.1155178800695493e-06
44,ordinary,33,0.3503220487946014,0.004048415618740396,0.9366205594899841,0.34,2,1716,572,11.66286526757091,0.061882393712713056,0.1820677132005298,0.00024369990377048092,0.592864843694364,0.0006933363341527937,True,0.00012185300529517044,0.0002505939987421206,0.02133984422278695,-2.3151403168191604e-05
45,ordinary,2,-0.34596656976924833,-0.7065394514716331,-0.6173403729841938,0.34,1,84,28,1.255712567604434,0.01373682400942754,0.017244632823324973,0.00018859380335001634,0.0009617063365692137,9.829937091665827e-07,False,9.430525543872512e-05,8.322026166270209e-05,0.0070867914993015015,-0.00014295622550239206
46,ordinary,49,0.8653113061707486,0.42255348572343276,0.2696013633423422,0.34,2,1104,368,8.845662243192063,0.11714274365561278,0.6218120874005296,0.004941486519461443,0.9965586367266643,0.0049756738143431145,True,0.0024722354514127264,0.0023935324334956078,0.20382614719176495,-1.3410554827101575e-05
